sample_index,sequence_id,frame_index,category,component,parameter_group,gradient_norm,max_abs_gradient,finite,component_total_norm_ratio
4,phase8_train_0005,3,visible_low_risk,score,trajectory_output_branch,0.0,0.0,True,0.0
4,phase8_train_0005,3,visible_low_risk,score,score_output_branch,1.8216572999954224,0.4037141501903534,True,0.09464673084974866
4,phase8_train_0005,3,visible_low_risk,score,shared_head_trunk,6.121291637420654,0.6879561543464661,True,0.31804019453122484
4,phase8_train_0005,3,visible_low_risk,score,all,8.763934135437012,0.6879561543464661,True,0.4553423496854847
4,phase8_train_0005,3,visible_low_risk,total,late_mobile,9.534414291381836,0.46244192123413086,True,0.49537371450090056
4,phase8_train_0005,3,visible_low_risk,total,output_1x1,7.070466041564941,0.19379320740699768,True,0.3673558667812911
4,phase8_train_0005,3,visible_low_risk,total,trajectory_output_branch,9.86876392364502,2.0228140354156494,True,0.512745313239371
4,phase8_train_0005,3,visible_low_risk,total,score_output_branch,1.8216572999954224,0.4037141501903534,True,0.09464673084974866
4,phase8_train_0005,3,visible_low_risk,total,shared_head_trunk,11.350600242614746,1.1263107061386108,True,0.5897361738393656
4,phase8_train_0005,3,visible_low_risk,total,all,19.246912002563477,2.0228140354156494,True,1.0
5,phase8_train_0002,3,visible_high_risk,smooth,late_mobile,1.3602263927459717,0.09737808257341385,True,0.06486803094271214
5,phase8_train_0002,3,visible_high_risk,smooth,output_1x1,0.9040181636810303,0.030117150396108627,True,0.04311185147352637
5,phase8_train_0002,3,visible_high_risk,smooth,trajectory_output_branch,1.6770731210708618,0.2840921878814697,True,0.07997817987577617
5,phase8_train_0002,3,visible_high_risk,smooth,score_output_branch,0.0,0.0,True,0.0
5,phase8_train_0002,3,visible_high_risk,smooth,shared_head_trunk,1.2527718544006348,0.08922078460454941,True,0.059743616098615
5,phase8_train_0002,3,visible_high_risk,smooth,all,2.6550850868225098,0.2840921878814697,True,0.1266187323566371
5,phase8_train_0002,3,visible_high_risk,static,late_mobile,7.570963382720947,0.516196072101593,True,0.36105275533217845
5,phase8_train_0002,3,visible_high_risk,static,output_1x1,4.931634426116943,0.17906510829925537,True,0.23518541932250395
5,phase8_train_0002,3,visible_high_risk,static,trajectory_output_branch,9.625265121459961,1.9072208404541016,True,0.4590206446959281
5,phase8_train_0002,3,visible_high_risk,static,score_output_branch,0.0,0.0,True,0.0
5,phase8_train_0002,3,visible_high_risk,static,shared_head_trunk,5.7579240798950195,0.4661584198474884,True,0.27459046477285287
5,phase8_train_0002,3,visible_high_risk,static,all,14.402774810791016,1.9072208404541016,True,0.6868559874075223
5,phase8_train_0002,3,visible_high_risk,guidance,late_mobile,3.58780837059021,0.20088252425193787,True,0.17109950640652763
5,phase8_train_0002,3,visible_high_risk,guidance,output_1x1,2.7380096912384033,0.10706881433725357,True,0.13057333567403273
5,phase8_train_0002,3,visible_high_risk,guidance,trajectory_output_branch,1.203532338142395,0.2569923996925354,True,0.057395425767007326
5,phase8_train_0002,3,visible_high_risk,guidance,score_output_branch,0.0,0.0,True,0.0
5,phase8_train_0002,3,visible_high_risk,guidance,shared_head_trunk,4.671349048614502,0.32948899269104004,True,0.22277263273653078
5,phase8_train_0002,3,visible_high_risk,guidance,all,6.605986595153809,0.32948899269104004,True,0.3150338393276614
5,phase8_train_0002,3,visible_high_risk,dynamic_raw,late_mobile,4.304020881652832,0.3508940041065216,True,0.20525506725796613
