sequence_id,frame_index,map_id,scenario,sample_category,candidate_id,predicted_score,dynamic_cost,static_cost,guidance_cost,minimum_distance,minimum_clearance,time_of_minimum_clearance,risk_rank,score_rank,selected_by_score
phase8_train_0005,8,1,waypoint_ping_pong,visible_low_risk,8,1.2012072801589966,0.0002020037645706907,2.7945239543914795,1.067739725112915,1.6442499160766602,0.6140642166137695,0.7777777314186096,11,3,False
phase8_train_0005,8,1,waypoint_ping_pong,visible_low_risk,9,1.291730523109436,0.00013931916328147054,2.227226972579956,0.8297364711761475,1.6961902379989624,0.6449576616287231,0.7777777314186096,13,7,False
phase8_train_0005,8,1,waypoint_ping_pong,visible_low_risk,10,0.939892053604126,0.01304603461176157,2.8446359634399414,0.8452333211898804,1.1807843446731567,0.14740216732025146,0.7777777314186096,6,1,False
phase8_train_0005,8,1,waypoint_ping_pong,visible_low_risk,11,0.9083622097969055,0.04334812983870506,2.870305061340332,0.9838225841522217,1.0241857767105103,-0.027046799659729004,0.7777777314186096,3,0,True
phase8_train_0005,8,1,waypoint_ping_pong,visible_low_risk,12,1.232306718826294,0.03600514307618141,2.841484785079956,1.0349234342575073,1.0489577054977417,-0.0022748708724975586,0.7777777314186096,4,6,False
phase8_train_0005,8,1,waypoint_ping_pong,visible_low_risk,13,1.1731812953948975,0.0013474739389494061,2.5505216121673584,0.9608903527259827,1.4484622478485107,0.3972296714782715,0.7777777314186096,10,2,False
phase8_train_0005,8,1,waypoint_ping_pong,visible_low_risk,14,1.3040597438812256,7.772643584758043e-05,3.3380415439605713,0.7229427695274353,1.758305549621582,0.7070729732513428,0.7777777314186096,14,8,False
phase8_train_0005,3,1,waypoint_ping_pong,visible_low_risk,0,1.487022876739502,0.9226551651954651,2.2888057231903076,0.9399970769882202,0.37010908126831055,-0.6811234951019287,0.7777777314186096,0,5,False
phase8_train_0005,3,1,waypoint_ping_pong,visible_low_risk,1,1.7469385862350464,0.6764294505119324,1.8732481002807617,1.1154602766036987,0.4616554379463196,-0.5895771384239197,0.7777777314186096,2,7,False
phase8_train_0005,3,1,waypoint_ping_pong,visible_low_risk,2,2.890850067138672,0.6864822506904602,1.6727858781814575,1.1126567125320435,0.46205583214759827,-0.5891767740249634,0.7777777314186096,1,12,False
phase8_train_0005,3,1,waypoint_ping_pong,visible_low_risk,3,2.1619656085968018,1.0316895895812195e-05,2.109849214553833,0.5802007913589478,1.9195691347122192,0.9105582237243652,0.6666666269302368,11,10,False
phase8_train_0005,3,1,waypoint_ping_pong,visible_low_risk,4,1.519875407218933,5.609927939076442e-06,2.02999210357666,0.6664556264877319,1.9821405410766602,0.9731296300888062,0.6666666269302368,13,6,False
phase8_train_0005,3,1,waypoint_ping_pong,visible_low_risk,5,1.3313970565795898,0.05173683166503906,2.676025867462158,0.8639642596244812,1.0053465366363525,-0.04588603973388672,0.7777777314186096,4,2,False
phase8_train_0005,3,1,waypoint_ping_pong,visible_low_risk,6,2.1870930194854736,0.00359922181814909,3.157421350479126,1.0387907028198242,1.3329745531082153,0.3030426502227783,0.7777777314186096,7,11,False
phase8_train_0005,3,1,waypoint_ping_pong,visible_low_risk,7,4.185116291046143,0.0012698222417384386,3.147026300430298,1.0450778007507324,1.4346554279327393,0.40475940704345703,0.7222222089767456,8,14,False
